VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
432, 6, 498596, 2, 2
433, 9, 537600, 2, 4
434, 15, 531568, 2, 6
435, 6, 689925, 2, 2
436, 9, 574228, 2, 4
437, 15, 517251, 2, 6
438, 6, 601920, 2, 2
439, 9, 569028, 2, 4
440, 15, 829046, 2, 6
441, 6, 634742, 2, 2
442, 9, 562446, 2, 4
443, 15, 654879, 2, 6
444, 6, 782539, 2, 2
445, 9, 879452, 2, 4
446, 15, 628731, 2, 6
447, 6, 755358, 2, 2
448, 9, 566173, 2, 4
449, 15, 730962, 2, 6
