VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
434, 10, 380083, 1, 3
435, 4, 363913, 1, 1
436, 6, 434295, 1, 2
437, 10, 445377, 1, 3
438, 4, 420108, 1, 1
439, 6, 474741, 1, 2
440, 10, 500680, 1, 3
441, 4, 384482, 1, 1
442, 6, 567636, 1, 2
443, 10, 473880, 1, 3
444, 4, 363723, 1, 1
445, 6, 412434, 1, 2
446, 10, 351971, 1, 3
447, 4, 559671, 1, 1
448, 6, 659368, 1, 2
449, 10, 584518, 1, 3
