VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
465, 6, 312143, 1, 1
466, 6, 302406, 1, 2
467, 6, 278392, 1, 2
468, 6, 381892, 1, 1
469, 6, 228840, 1, 2
470, 6, 239350, 1, 2
471, 6, 338773, 1, 1
472, 6, 280215, 1, 2
473, 6, 237937, 1, 2
474, 6, 323714, 1, 1
475, 6, 222459, 1, 2
476, 6, 228139, 1, 2
477, 6, 488117, 1, 1
478, 6, 282399, 1, 2
479, 6, 206350, 1, 2
480, 6, 322673, 1, 1
481, 6, 217490, 1, 2
482, 6, 254608, 1, 2
483, 6, 422787, 1, 1
484, 6, 290534, 1, 2
485, 6, 212530, 1, 2
486, 6, 340926, 1, 1
487, 6, 222158, 1, 2
488, 6, 221537, 1, 2
489, 6, 453052, 1, 1
490, 6, 416466, 1, 2
491, 6, 314788, 1, 2
492, 6, 345114, 1, 1
493, 6, 281899, 1, 2
494, 6, 301534, 1, 2
495, 6, 386470, 1, 1
496, 6, 230494, 1, 2
497, 6, 207191, 1, 2
498, 6, 290214, 1, 1
499, 6, 233469, 1, 2
500, 6, 178168, 1, 2
501, 6, 274514, 1, 1
502, 6, 247034, 1, 2
503, 6, 375640, 1, 2
504, 6, 307035, 1, 1
505, 6, 201290, 1, 2
506, 6, 170894, 1, 2
507, 6, 384226, 1, 1
508, 6, 258886, 1, 2
509, 6, 281247, 1, 2
600, 6, 321921, 1, 1
601, 6, 354171, 1, 2
602, 6, 456139, 1, 2
603, 6, 212240, 1, 2
604, 6, 268333, 1, 2
605, 38, 390929, 1, 8
606, 6, 364690, 1, 1
607, 6, 227198, 1, 2
608, 6, 187364, 1, 2
609, 6, 189848, 1, 2
610, 6, 166617, 1, 2
611, 38, 388194, 1, 8
612, 6, 414482, 1, 1
613, 6, 394605, 1, 2
614, 6, 290964, 1, 2
615, 6, 212370, 1, 2
616, 6, 224523, 1, 2
617, 38, 496553, 1, 8
618, 6, 278592, 1, 1
619, 6, 201621, 1, 2
620, 6, 172487, 1, 2
621, 6, 201361, 1, 2
622, 6, 173950, 1, 2
623, 38, 434048, 1, 8
624, 6, 354251, 1, 1
625, 6, 369139, 1, 2
626, 6, 198485, 1, 2
627, 6, 181453, 1, 2
628, 6, 170573, 1, 2
629, 38, 476045, 1, 8
630, 6, 288881, 1, 1
631, 6, 240842, 1, 2
632, 6, 179380, 1, 2
633, 6, 178488, 1, 2
634, 6, 168059, 1, 2
635, 38, 611694, 1, 8
636, 6, 311533, 1, 1
637, 6, 189458, 1, 2
638, 6, 188857, 1, 2
639, 6, 169141, 1, 2
640, 6, 202252, 1, 2
641, 38, 398333, 1, 8
642, 6, 297698, 1, 1
643, 6, 191442, 1, 2
644, 6, 167588, 1, 2
645, 6, 205188, 1, 2
646, 6, 191041, 1, 2
647, 38, 327742, 1, 8
648, 6, 466368, 1, 1
649, 6, 337400, 1, 2
650, 6, 340556, 1, 2
651, 6, 323034, 1, 2
652, 6, 243828, 1, 2
653, 38, 404233, 1, 8
654, 6, 337270, 1, 1
655, 6, 289602, 1, 2
656, 6, 211679, 1, 2
657, 6, 232838, 1, 2
658, 6, 239750, 1, 2
659, 38, 393604, 1, 8
660, 6, 295073, 1, 1
661, 6, 198115, 1, 2
662, 6, 156928, 1, 2
663, 6, 160715, 1, 2
664, 6, 186673, 1, 2
665, 38, 296495, 1, 8
666, 6, 343131, 1, 1
667, 6, 187966, 1, 2
668, 6, 373617, 1, 2
669, 6, 228359, 1, 2
670, 6, 240292, 1, 2
671, 38, 494338, 1, 8
672, 6, 301454, 1, 1
673, 6, 195459, 1, 2
674, 6, 184079, 1, 2
675, 6, 174601, 1, 2
676, 6, 180251, 1, 2
677, 38, 408741, 1, 8
678, 6, 308828, 1, 1
679, 6, 344673, 1, 2
680, 6, 220164, 1, 2
681, 6, 217520, 1, 2
682, 6, 208393, 1, 2
683, 38, 373036, 1, 8
684, 6, 326190, 1, 1
685, 6, 238127, 1, 2
686, 6, 206560, 1, 2
687, 6, 198966, 1, 2
688, 6, 220766, 1, 2
689, 38, 367566, 1, 8
735, 6, 235453, 1, 1
736, 6, 209915, 1, 2
737, 6, 174050, 1, 2
738, 6, 323905, 1, 1
739, 6, 211108, 1, 2
740, 6, 168400, 1, 2
741, 6, 253746, 1, 1
742, 6, 180673, 1, 2
743, 6, 199566, 1, 2
744, 6, 351886, 1, 1
745, 6, 221607, 1, 2
746, 6, 177806, 1, 2
747, 6, 259978, 1, 1
748, 6, 176675, 1, 2
749, 6, 148503, 1, 2
750, 6, 259777, 1, 1
751, 6, 151518, 1, 2
752, 6, 161477, 1, 2
753, 6, 228971, 1, 1
754, 6, 161227, 1, 2
755, 6, 166526, 1, 2
756, 6, 326069, 1, 1
757, 6, 351967, 1, 2
758, 6, 209806, 1, 2
759, 6, 246613, 1, 1
760, 6, 168700, 1, 2
761, 6, 202953, 1, 2
762, 6, 455958, 1, 1
763, 6, 226767, 1, 2
764, 6, 218662, 1, 2
765, 6, 462900, 1, 1
766, 6, 187715, 1, 2
767, 6, 165704, 1, 2
768, 6, 298047, 1, 1
769, 6, 292758, 1, 2
770, 6, 222769, 1, 2
771, 6, 474251, 1, 1
772, 6, 235603, 1, 2
773, 6, 170764, 1, 2
774, 6, 259297, 1, 1
775, 6, 186653, 1, 2
776, 6, 186783, 1, 2
777, 6, 461678, 1, 1
778, 6, 285415, 1, 2
779, 6, 193095, 1, 2
870, 6, 240071, 1, 1
871, 6, 1439777, 1, 2
872, 6, 257813, 1, 2
873, 6, 169762, 1, 2
874, 6, 185992, 1, 2
875, 30, 251652, 1, 7
876, 6, 310070, 1, 1
877, 6, 197142, 1, 2
878, 6, 185811, 1, 2
879, 6, 175373, 1, 2
880, 6, 207451, 1, 2
881, 30, 294371, 1, 7
882, 6, 319046, 1, 1
883, 6, 206250, 1, 2
884, 6, 210267, 1, 2
885, 6, 205487, 1, 2
886, 6, 197814, 1, 2
887, 30, 259717, 1, 7
888, 6, 239590, 1, 1
889, 6, 183387, 1, 2
890, 6, 155816, 1, 2
891, 6, 227949, 1, 2
892, 6, 152290, 1, 2
893, 30, 268684, 1, 7
894, 6, 405054, 1, 1
895, 6, 235954, 1, 2
896, 6, 186993, 1, 2
897, 6, 164993, 1, 2
898, 6, 211859, 1, 2
899, 30, 437083, 1, 7
900, 6, 286717, 1, 1
901, 6, 189629, 1, 2
902, 6, 177646, 1, 2
903, 6, 170454, 1, 2
904, 6, 168209, 1, 2
905, 30, 272621, 1, 7
906, 6, 275637, 1, 1
907, 6, 189088, 1, 2
908, 6, 164081, 1, 2
909, 6, 763724, 1, 2
910, 6, 172237, 1, 2
911, 30, 233920, 1, 7
912, 6, 314759, 1, 1
913, 6, 217119, 1, 2
914, 6, 206419, 1, 2
915, 6, 199937, 1, 2
916, 6, 218762, 1, 2
917, 30, 468401, 1, 7
918, 6, 269405, 1, 1
919, 6, 199216, 1, 2
920, 6, 175352, 1, 2
921, 6, 156919, 1, 2
922, 6, 172818, 1, 2
923, 30, 281037, 1, 7
924, 6, 296635, 1, 1
925, 6, 214144, 1, 2
926, 6, 180201, 1, 2
927, 6, 165895, 1, 2
928, 6, 207301, 1, 2
929, 30, 309258, 1, 7
930, 6, 305031, 1, 1
931, 6, 202272, 1, 2
932, 6, 188406, 1, 2
933, 6, 173860, 1, 2
934, 6, 177727, 1, 2
935, 30, 262182, 1, 7
936, 6, 356606, 1, 1
937, 6, 192694, 1, 2
938, 6, 170523, 1, 2
939, 6, 156958, 1, 2
940, 6, 196271, 1, 2
941, 30, 255109, 1, 7
942, 6, 297096, 1, 1
943, 6, 214965, 1, 2
944, 6, 172827, 1, 2
945, 6, 162359, 1, 2
946, 6, 149315, 1, 2
947, 30, 235313, 1, 7
948, 6, 353289, 1, 1
949, 6, 183568, 1, 2
950, 6, 200349, 1, 2
951, 6, 150556, 1, 2
952, 6, 189368, 1, 2
953, 30, 286978, 1, 7
954, 6, 302406, 1, 1
955, 6, 229742, 1, 2
956, 6, 258505, 1, 2
957, 6, 211439, 1, 2
958, 6, 219614, 1, 2
959, 30, 353990, 1, 7
