VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
885, 9, 439143, 2, 4
886, 6, 280615, 1, 2
887, 46, 823212, 2, 14
888, 9, 617287, 2, 2
889, 9, 395942, 2, 4
890, 9, 342091, 2, 4
891, 9, 305732, 2, 4
892, 6, 330589, 1, 2
893, 46, 927909, 2, 14
894, 9, 585587, 2, 2
895, 9, 344275, 2, 4
896, 9, 321232, 2, 4
897, 9, 284363, 2, 4
898, 6, 234710, 1, 2
899, 46, 892762, 2, 14
900, 9, 539180, 2, 2
901, 9, 303589, 2, 4
902, 9, 283131, 2, 4
903, 9, 275737, 2, 4
904, 6, 220703, 1, 2
905, 46, 711012, 2, 14
906, 9, 591248, 2, 2
907, 9, 370544, 2, 4
908, 9, 286346, 2, 4
909, 9, 283080, 2, 4
910, 6, 211045, 1, 2
911, 46, 671318, 2, 14
912, 9, 457106, 2, 2
913, 9, 345828, 2, 4
914, 9, 267361, 2, 4
915, 9, 272240, 2, 4
916, 6, 222427, 1, 2
917, 46, 721481, 2, 14
918, 9, 621394, 2, 2
919, 9, 398927, 2, 4
920, 9, 301464, 2, 4
921, 9, 293059, 2, 4
922, 6, 231353, 1, 2
923, 46, 701084, 2, 14
924, 9, 530103, 2, 2
925, 9, 309991, 2, 4
926, 9, 293831, 2, 4
927, 9, 295173, 2, 4
928, 6, 268503, 1, 2
929, 46, 668392, 2, 14
930, 9, 494727, 2, 2
931, 9, 326803, 2, 4
932, 9, 276428, 2, 4
933, 9, 278632, 2, 4
934, 6, 238447, 1, 2
935, 46, 730098, 2, 14
936, 9, 715671, 2, 2
937, 9, 381665, 2, 4
938, 9, 295284, 2, 4
939, 9, 289392, 2, 4
940, 6, 207970, 1, 2
941, 46, 621895, 2, 14
942, 9, 479498, 2, 2
943, 9, 306414, 2, 4
944, 9, 279424, 2, 4
945, 9, 276097, 2, 4
946, 6, 205906, 1, 2
947, 46, 814425, 2, 14
948, 9, 567614, 2, 2
949, 9, 338244, 2, 4
950, 9, 300633, 2, 4
951, 9, 278051, 2, 4
952, 6, 211296, 1, 2
953, 46, 665998, 2, 14
954, 9, 628117, 2, 2
955, 9, 340819, 2, 4
956, 9, 296696, 2, 4
957, 9, 326151, 2, 4
958, 6, 213660, 1, 2
959, 46, 624299, 2, 14
