Number, Time, Resource, NoOfElements, Type
242, 122755, file:/tmp/junit-2798976567079507604/example.model2, 2, Save
243, 50132, file:/tmp/junit-2798976567079507604/example.model, 2, Save
244, 175092, file:/tmp/junit-2798976567079507604/example.model2, 1, Save
245, 57506, file:/tmp/junit-2798976567079507604/example.model, 1, Save
246, 111755, file:/tmp/junit-18227921631556965768/example.model, 1, Save
247, 47497, file:/tmp/junit-18227921631556965768/example.model2, 1, Save
248, 98672, file:/tmp/junit-18227921631556965768/example.model, 2, Save
249, 49130, file:/tmp/junit-18227921631556965768/example.model2, 2, Save
250, 107237, file:/tmp/junit-18227921631556965768/example.model, 1, Save
251, 51595, file:/tmp/junit-18227921631556965768/example.model2, 1, Save
252, 131051, file:/tmp/junit-11783061128005454390/example.model2, 1, Save
253, 46455, file:/tmp/junit-11783061128005454390/example.model, 1, Save
254, 106105, file:/tmp/junit-11783061128005454390/example.model2, 2, Save
255, 55833, file:/tmp/junit-11783061128005454390/example.model, 2, Save
256, 117245, file:/tmp/junit-11783061128005454390/example.model2, 1, Save
257, 50643, file:/tmp/junit-11783061128005454390/example.model, 1, Save
258, 161216, file:/tmp/junit-13711968011794352842/example.model, 1, Save
259, 61363, file:/tmp/junit-13711968011794352842/example.model2, 1, Save
260, 120141, file:/tmp/junit-13711968011794352842/example.model, 2, Save
261, 48729, file:/tmp/junit-13711968011794352842/example.model2, 2, Save
262, 85207, file:/tmp/junit-13711968011794352842/example.model, 1, Save
263, 43069, file:/tmp/junit-13711968011794352842/example.model2, 1, Save
264, 129959, file:/tmp/junit-16339667042531596613/example.model2, 1, Save
265, 45654, file:/tmp/junit-16339667042531596613/example.model, 1, Save
266, 134968, file:/tmp/junit-16339667042531596613/example.model2, 2, Save
267, 49721, file:/tmp/junit-16339667042531596613/example.model, 2, Save
268, 110994, file:/tmp/junit-16339667042531596613/example.model2, 1, Save
269, 44282, file:/tmp/junit-16339667042531596613/example.model, 1, Save
270, 135329, file:/tmp/junit-9163887255440862331/example.model, 1, Save
271, 58668, file:/tmp/junit-9163887255440862331/example.model2, 1, Save
272, 124219, file:/tmp/junit-9163887255440862331/example.model, 2, Save
273, 64448, file:/tmp/junit-9163887255440862331/example.model2, 2, Save
274, 93863, file:/tmp/junit-9163887255440862331/example.model, 1, Save
275, 46686, file:/tmp/junit-9163887255440862331/example.model2, 1, Save
276, 89795, file:/tmp/junit-11298125631670881834/example.model2, 1, Save
277, 47297, file:/tmp/junit-11298125631670881834/example.model, 1, Save
278, 129408, file:/tmp/junit-11298125631670881834/example.model2, 2, Save
279, 51264, file:/tmp/junit-11298125631670881834/example.model, 2, Save
280, 89605, file:/tmp/junit-11298125631670881834/example.model2, 1, Save
281, 45494, file:/tmp/junit-11298125631670881834/example.model, 1, Save
282, 124239, file:/tmp/junit-6871121003691750484/example.model, 1, Save
283, 60371, file:/tmp/junit-6871121003691750484/example.model2, 1, Save
284, 112046, file:/tmp/junit-6871121003691750484/example.model, 2, Save
285, 53539, file:/tmp/junit-6871121003691750484/example.model2, 2, Save
286, 94945, file:/tmp/junit-6871121003691750484/example.model, 1, Save
287, 46526, file:/tmp/junit-6871121003691750484/example.model2, 1, Save
288, 123116, file:/tmp/junit-9540353415551540701/example.model2, 1, Save
289, 56444, file:/tmp/junit-9540353415551540701/example.model, 1, Save
290, 107567, file:/tmp/junit-9540353415551540701/example.model2, 2, Save
291, 47607, file:/tmp/junit-9540353415551540701/example.model, 2, Save
292, 104392, file:/tmp/junit-9540353415551540701/example.model2, 1, Save
293, 56243, file:/tmp/junit-9540353415551540701/example.model, 1, Save
294, 109291, file:/tmp/junit-16578600053191036747/example.model, 1, Save
295, 47988, file:/tmp/junit-16578600053191036747/example.model2, 1, Save
296, 83574, file:/tmp/junit-16578600053191036747/example.model, 2, Save
