Number, Time, Resource, NoOfElements, Type
97, 47037, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2025%20of%2030/model/Model.arxml, 2, Save
98, 43640, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2025%20of%2030/model/Model.arxml, 3, Save
99, 45023, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2025%20of%2030/model/Model.arxml, 2, Save
100, 52327, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2026%20of%2030/model/Model.arxml, 1, Save
101, 41476, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2026%20of%2030/model/Model.arxml, 2, Save
102, 40825, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2026%20of%2030/model/Model.arxml, 3, Save
103, 41216, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2026%20of%2030/model/Model.arxml, 2, Save
104, 53749, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2027%20of%2030/model/Model.arxml, 1, Save
105, 43280, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2027%20of%2030/model/Model.arxml, 2, Save
106, 48489, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2027%20of%2030/model/Model.arxml, 3, Save
107, 50553, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2027%20of%2030/model/Model.arxml, 2, Save
108, 67144, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2028%20of%2030/model/Model.arxml, 1, Save
109, 57215, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2028%20of%2030/model/Model.arxml, 2, Save
110, 54981, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2028%20of%2030/model/Model.arxml, 3, Save
111, 43290, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2028%20of%2030/model/Model.arxml, 2, Save
112, 57085, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2029%20of%2030/model/Model.arxml, 1, Save
113, 43770, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2029%20of%2030/model/Model.arxml, 2, Save
114, 42017, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2029%20of%2030/model/Model.arxml, 3, Save
115, 40625, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2029%20of%2030/model/Model.arxml, 2, Save
116, 70259, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2030%20of%2030/model/Model.arxml, 1, Save
117, 62214, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2030%20of%2030/model/Model.arxml, 2, Save
118, 45944, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2030%20of%2030/model/Model.arxml, 3, Save
119, 43751, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2030%20of%2030/model/Model.arxml, 2, Save
180, 66502, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2016%20of%2030/model/Model.arxml, 1, Save
181, 59810, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2016%20of%2030/model/Model.arxml, 2, Save
182, 46645, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2016%20of%2030/model/Model.arxml, 3, Save
183, 44732, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2016%20of%2030/model/Model.arxml, 2, Save
184, 68896, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2017%20of%2030/model/Model.arxml, 1, Save
185, 52807, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2017%20of%2030/model/Model.arxml, 2, Save
186, 45052, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2017%20of%2030/model/Model.arxml, 3, Save
187, 43279, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2017%20of%2030/model/Model.arxml, 2, Save
188, 75779, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2018%20of%2030/model/Model.arxml, 1, Save
189, 57967, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2018%20of%2030/model/Model.arxml, 2, Save
