VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
419, 9, 486091, 2, 4
480, 9, 756006, 2, 2
481, 9, 561471, 2, 4
482, 9, 456254, 2, 4
483, 55, 1152840, 2, 14
484, 9, 1092135, 2, 2
485, 9, 681347, 2, 4
486, 9, 427561, 2, 4
487, 55, 1165993, 2, 14
488, 9, 783818, 2, 2
489, 9, 473878, 2, 4
490, 9, 389089, 2, 4
491, 55, 1175371, 2, 14
492, 9, 939109, 2, 2
493, 9, 476722, 2, 4
494, 9, 425226, 2, 4
495, 55, 932977, 2, 14
496, 9, 879918, 2, 2
497, 9, 867445, 2, 4
498, 9, 446566, 2, 4
499, 55, 1158340, 2, 14
500, 9, 845915, 2, 2
501, 9, 619891, 2, 4
502, 9, 482213, 2, 4
503, 55, 1476526, 2, 14
504, 9, 714258, 2, 2
505, 9, 517820, 2, 4
506, 9, 457096, 2, 4
507, 55, 995264, 2, 14
508, 9, 5146230, 2, 2
509, 9, 1154582, 2, 4
510, 9, 772967, 2, 4
511, 55, 1446339, 2, 14
512, 9, 732272, 2, 2
513, 9, 550651, 2, 4
514, 9, 537667, 2, 4
515, 55, 1065566, 2, 14
516, 9, 822490, 2, 2
517, 9, 660227, 2, 4
518, 9, 441877, 2, 4
519, 55, 1382660, 2, 14
520, 9, 808364, 2, 2
521, 9, 487293, 2, 4
522, 9, 387586, 2, 4
523, 55, 937096, 2, 14
524, 9, 641762, 2, 2
525, 9, 395521, 2, 4
526, 9, 316523, 2, 4
527, 55, 793416, 2, 14
528, 9, 881190, 2, 2
529, 9, 399619, 2, 4
530, 9, 563625, 2, 4
531, 55, 1203794, 2, 14
532, 9, 675966, 2, 2
533, 9, 437830, 2, 4
534, 9, 481692, 2, 4
535, 55, 1090353, 2, 14
536, 9, 669073, 2, 2
537, 9, 373319, 2, 4
538, 9, 346399, 2, 4
539, 55, 894766, 2, 14
570, 9, 485700, 2, 2
571, 9, 508232, 2, 4
572, 9, 536184, 2, 2
573, 9, 382116, 2, 4
574, 9, 563385, 2, 2
575, 9, 389560, 2, 4
576, 9, 675465, 2, 2
577, 9, 471393, 2, 4
578, 9, 772708, 2, 2
579, 9, 651099, 2, 4
580, 9, 623868, 2, 2
