VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
432, 6, 449957, 2, 2
433, 9, 783681, 2, 4
434, 15, 546024, 2, 6
435, 6, 713762, 2, 2
436, 9, 598300, 2, 4
437, 15, 557575, 2, 6
438, 6, 571841, 2, 2
439, 9, 438005, 2, 4
440, 15, 631521, 2, 6
441, 6, 601596, 2, 2
442, 9, 835967, 2, 4
443, 15, 666846, 2, 6
444, 6, 770076, 2, 2
445, 9, 601255, 2, 4
446, 15, 779753, 2, 6
447, 6, 709574, 2, 2
448, 9, 459835, 2, 4
449, 15, 705136, 2, 6
