VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
465, 6, 157489, 1, 1
466, 6, 155556, 1, 2
467, 4, 212210, 1, 2
468, 6, 169812, 1, 1
469, 6, 122856, 1, 2
470, 4, 110874, 1, 2
471, 6, 135810, 1, 1
472, 6, 113308, 1, 2
473, 4, 102108, 1, 2
474, 6, 148583, 1, 1
475, 6, 125431, 1, 2
476, 4, 106876, 1, 2
477, 6, 212761, 1, 1
478, 6, 171324, 1, 2
479, 4, 137863, 1, 2
480, 6, 220725, 1, 1
481, 6, 158231, 1, 2
482, 4, 111205, 1, 2
483, 6, 145778, 1, 1
484, 6, 120351, 1, 2
485, 4, 139566, 1, 2
486, 6, 142452, 1, 1
487, 6, 117756, 1, 2
488, 4, 102960, 1, 2
489, 6, 152450, 1, 1
490, 6, 119149, 1, 2
491, 4, 112947, 1, 2
492, 6, 141280, 1, 1
493, 6, 113800, 1, 2
494, 4, 100425, 1, 2
495, 6, 177666, 1, 1
496, 6, 122525, 1, 2
497, 4, 103240, 1, 2
498, 6, 250841, 1, 1
499, 6, 162178, 1, 2
500, 4, 116985, 1, 2
501, 6, 161627, 1, 1
502, 6, 126162, 1, 2
503, 4, 103089, 1, 2
504, 6, 140829, 1, 1
505, 6, 117526, 1, 2
506, 4, 99333, 1, 2
507, 6, 127554, 1, 1
508, 6, 113749, 1, 2
509, 4, 96137, 1, 2
