VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
418, 9, 428042, 2, 4
419, 7, 448570, 2, 5
465, 9, 736670, 2, 2
466, 9, 429445, 2, 4
467, 6, 266820, 2, 4
468, 9, 621134, 2, 2
469, 9, 388678, 2, 4
470, 6, 312165, 2, 4
471, 9, 720530, 2, 2
472, 9, 663653, 2, 4
473, 6, 315731, 2, 4
474, 9, 574676, 2, 2
475, 9, 362299, 2, 4
476, 6, 243916, 2, 4
477, 9, 612227, 2, 2
478, 9, 404558, 2, 4
479, 6, 292177, 2, 4
480, 9, 610864, 2, 2
481, 9, 561591, 2, 4
482, 6, 371135, 2, 4
483, 9, 460813, 2, 2
484, 9, 381695, 2, 4
485, 6, 252523, 2, 4
486, 9, 453830, 2, 2
487, 9, 370805, 2, 4
488, 6, 280957, 2, 4
489, 9, 607297, 2, 2
490, 9, 528269, 2, 4
491, 6, 333795, 2, 4
492, 9, 492202, 2, 2
493, 9, 398096, 2, 4
494, 6, 253665, 2, 4
495, 9, 761035, 2, 2
496, 9, 389389, 2, 4
497, 6, 307867, 2, 4
498, 9, 530163, 2, 2
499, 9, 328806, 2, 4
500, 6, 257833, 2, 4
501, 9, 476573, 2, 2
502, 9, 332302, 2, 4
503, 6, 278922, 2, 4
504, 9, 569848, 2, 2
505, 9, 345958, 2, 4
506, 6, 277109, 2, 4
507, 9, 494085, 2, 2
508, 9, 340508, 2, 4
509, 6, 297427, 2, 4
