VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
480, 6, 351539, 1, 1
481, 6, 199153, 1, 2
482, 6, 169117, 1, 2
483, 26, 432460, 1, 6
484, 6, 331370, 1, 1
485, 6, 227456, 1, 2
486, 6, 229129, 1, 2
487, 26, 412703, 1, 6
488, 6, 395992, 1, 1
489, 6, 285785, 1, 2
490, 6, 393147, 1, 2
491, 26, 471032, 1, 6
492, 6, 354514, 1, 1
493, 6, 241542, 1, 2
494, 6, 211226, 1, 2
495, 26, 344224, 1, 6
496, 6, 326001, 1, 1
497, 6, 211617, 1, 2
498, 6, 185297, 1, 2
499, 26, 334136, 1, 6
500, 6, 344966, 1, 1
501, 6, 201527, 1, 2
502, 6, 193582, 1, 2
503, 26, 363972, 1, 6
504, 6, 372267, 1, 1
505, 6, 206376, 1, 2
506, 6, 187732, 1, 2
507, 26, 266038, 1, 6
508, 6, 365225, 1, 1
509, 6, 416540, 1, 2
510, 6, 213590, 1, 2
511, 26, 570558, 1, 6
512, 6, 403606, 1, 1
513, 6, 229369, 1, 2
514, 6, 309660, 1, 2
515, 26, 557013, 1, 6
516, 6, 330058, 1, 1
517, 6, 199774, 1, 2
518, 6, 155010, 1, 2
519, 26, 246712, 1, 6
520, 6, 278241, 1, 1
521, 6, 204734, 1, 2
522, 6, 192451, 1, 2
523, 26, 247463, 1, 6
524, 6, 288450, 1, 1
525, 6, 266599, 1, 2
526, 6, 192931, 1, 2
527, 26, 327534, 1, 6
528, 6, 498183, 1, 1
529, 6, 275646, 1, 2
530, 6, 213811, 1, 2
531, 26, 308387, 1, 6
532, 6, 287218, 1, 1
533, 6, 208310, 1, 2
534, 6, 181189, 1, 2
535, 26, 263354, 1, 6
536, 6, 344886, 1, 1
537, 6, 346910, 1, 2
538, 6, 218580, 1, 2
539, 26, 311504, 1, 6
570, 6, 332983, 1, 1
571, 6, 250199, 1, 2
572, 6, 368761, 1, 1
573, 6, 238677, 1, 2
574, 6, 309269, 1, 1
575, 6, 216125, 1, 2
576, 6, 352249, 1, 1
577, 6, 276367, 1, 2
578, 6, 280836, 1, 1
579, 6, 230832, 1, 2
580, 6, 273462, 1, 1
581, 6, 200165, 1, 2
582, 6, 323696, 1, 1
583, 6, 249367, 1, 2
584, 6, 495468, 1, 1
585, 6, 231433, 1, 2
586, 6, 463719, 1, 1
587, 6, 326401, 1, 2
588, 6, 312936, 1, 1
589, 6, 260769, 1, 2
590, 6, 276117, 1, 1
591, 6, 198202, 1, 2
592, 6, 452698, 1, 1
593, 6, 324578, 1, 2
594, 6, 343654, 1, 1
595, 6, 232034, 1, 2
596, 6, 307125, 1, 1
597, 6, 190487, 1, 2
598, 6, 266429, 1, 1
599, 6, 198472, 1, 2
630, 6, 274023, 1, 1
631, 6, 200867, 1, 2
632, 6, 324187, 1, 1
633, 6, 198111, 1, 2
634, 6, 291797, 1, 1
635, 6, 199353, 1, 2
636, 6, 305833, 1, 1
637, 6, 259717, 1, 2
638, 6, 434254, 1, 1
639, 6, 193042, 1, 2
640, 6, 274143, 1, 1
641, 6, 315741, 1, 2
642, 6, 400410, 1, 1
643, 6, 319568, 1, 2
644, 6, 316453, 1, 1
645, 6, 207519, 1, 2
646, 6, 285355, 1, 1
647, 6, 191328, 1, 2
648, 6, 310241, 1, 1
649, 6, 198822, 1, 2
650, 6, 290374, 1, 1
651, 6, 190176, 1, 2
652, 6, 326010, 1, 1
653, 6, 189184, 1, 2
654, 6, 339266, 1, 1
655, 6, 317395, 1, 2
656, 6, 306655, 1, 1
657, 6, 197279, 1, 2
658, 6, 241733, 1, 1
659, 6, 169979, 1, 2
