VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
465, 6, 241394, 1, 1
466, 6, 190849, 1, 2
467, 6, 172504, 1, 2
468, 6, 250621, 1, 1
469, 6, 182293, 1, 2
470, 6, 164519, 1, 2
471, 6, 316505, 1, 1
472, 6, 242556, 1, 2
473, 6, 228751, 1, 2
474, 6, 499019, 1, 1
475, 6, 221918, 1, 2
476, 6, 217940, 1, 2
477, 6, 389522, 1, 1
478, 6, 212319, 1, 2
479, 6, 228519, 1, 2
480, 6, 296187, 1, 1
481, 6, 226446, 1, 2
482, 6, 199345, 1, 2
483, 6, 286830, 1, 1
484, 6, 163067, 1, 2
485, 6, 158398, 1, 2
486, 6, 241865, 1, 1
487, 6, 191620, 1, 2
488, 6, 174027, 1, 2
489, 6, 467409, 1, 1
490, 6, 406504, 1, 2
491, 6, 340010, 1, 2
492, 6, 569792, 1, 1
493, 6, 234010, 1, 2
494, 6, 202321, 1, 2
495, 6, 293301, 1, 1
496, 6, 180429, 1, 2
497, 6, 175119, 1, 2
498, 6, 325943, 1, 1
499, 6, 243909, 1, 2
500, 6, 232097, 1, 2
501, 6, 288462, 1, 1
502, 6, 190308, 1, 2
503, 6, 182683, 1, 2
504, 6, 252325, 1, 1
505, 6, 161043, 1, 2
506, 6, 164670, 1, 2
507, 6, 303981, 1, 1
508, 6, 191911, 1, 2
509, 6, 338186, 1, 2
600, 6, 226756, 1, 1
601, 6, 169379, 1, 2
602, 6, 152978, 1, 2
603, 6, 161834, 1, 2
604, 6, 238548, 1, 2
605, 38, 369545, 1, 8
606, 6, 261131, 1, 1
607, 6, 196209, 1, 2
608, 6, 277662, 1, 2
609, 6, 244981, 1, 2
610, 6, 236885, 1, 2
611, 38, 344768, 1, 8
612, 6, 287150, 1, 1
613, 6, 202430, 1, 2
614, 6, 180730, 1, 2
615, 6, 276009, 1, 2
616, 6, 205637, 1, 2
617, 38, 478060, 1, 8
618, 6, 417786, 1, 1
619, 6, 301086, 1, 2
620, 6, 252195, 1, 2
621, 6, 216788, 1, 2
622, 6, 226566, 1, 2
623, 38, 339728, 1, 8
624, 6, 403990, 1, 1
625, 6, 281650, 1, 2
626, 6, 253687, 1, 2
627, 6, 295396, 1, 2
628, 6, 341542, 1, 2
629, 38, 431001, 1, 8
630, 6, 326174, 1, 1
631, 6, 196128, 1, 2
632, 6, 169940, 1, 2
633, 6, 188965, 1, 2
634, 6, 216598, 1, 2
635, 38, 364165, 1, 8
636, 6, 550054, 1, 1
637, 6, 369004, 1, 2
638, 6, 243839, 1, 2
639, 6, 203823, 1, 2
640, 6, 208573, 1, 2
641, 38, 328187, 1, 8
642, 6, 313370, 1, 1
643, 6, 244239, 1, 2
644, 6, 239220, 1, 2
645, 6, 244320, 1, 2
646, 6, 246815, 1, 2
647, 38, 634914, 1, 8
648, 6, 325422, 1, 1
649, 6, 254759, 1, 2
650, 6, 228560, 1, 2
651, 6, 297800, 1, 2
652, 6, 242506, 1, 2
653, 38, 397758, 1, 8
654, 6, 392368, 1, 1
655, 6, 297640, 1, 2
656, 6, 223801, 1, 2
657, 6, 214814, 1, 2
658, 6, 204695, 1, 2
659, 38, 352994, 1, 8
660, 6, 492095, 1, 1
661, 6, 290486, 1, 2
662, 6, 252185, 1, 2
663, 6, 313369, 1, 2
664, 6, 297570, 1, 2
665, 38, 478049, 1, 8
666, 6, 296087, 1, 1
667, 6, 228950, 1, 2
668, 6, 244490, 1, 2
669, 6, 220524, 1, 2
670, 6, 199626, 1, 2
671, 38, 474853, 1, 8
672, 6, 322156, 1, 1
673, 6, 321785, 1, 2
674, 6, 246824, 1, 2
675, 6, 254269, 1, 2
676, 6, 217469, 1, 2
677, 38, 404952, 1, 8
678, 6, 307909, 1, 1
679, 6, 285046, 1, 2
680, 6, 269838, 1, 2
681, 6, 323929, 1, 2
682, 6, 304734, 1, 2
683, 38, 508717, 1, 8
684, 6, 340290, 1, 1
685, 6, 233809, 1, 2
686, 6, 224172, 1, 2
687, 6, 211268, 1, 2
688, 6, 264808, 1, 2
689, 38, 412556, 1, 8
735, 6, 300435, 1, 1
736, 6, 235012, 1, 2
737, 6, 262002, 1, 2
738, 6, 303611, 1, 1
739, 6, 193093, 1, 2
740, 6, 234962, 1, 2
741, 6, 291118, 1, 1
742, 6, 216477, 1, 2
743, 6, 165601, 1, 2
744, 6, 287130, 1, 1
745, 6, 183375, 1, 2
746, 6, 230924, 1, 2
747, 6, 350339, 1, 1
748, 6, 342995, 1, 2
749, 6, 238268, 1, 2
750, 6, 409861, 1, 1
751, 6, 229462, 1, 2
752, 6, 247115, 1, 2
753, 6, 291258, 1, 1
754, 6, 185659, 1, 2
755, 6, 172384, 1, 2
756, 6, 311245, 1, 1
757, 6, 186331, 1, 2
758, 6, 203483, 1, 2
759, 6, 373733, 1, 1
760, 6, 464243, 1, 2
761, 6, 380205, 1, 2
762, 6, 330632, 1, 1
763, 6, 202150, 1, 2
764, 6, 181982, 1, 2
765, 6, 399381, 1, 1
766, 6, 263155, 1, 2
767, 6, 201759, 1, 2
768, 6, 329529, 1, 1
769, 6, 400844, 1, 2
770, 6, 238188, 1, 2
771, 6, 295856, 1, 1
772, 6, 199145, 1, 2
773, 6, 182013, 1, 2
774, 6, 294534, 1, 1
775, 6, 325392, 1, 2
776, 6, 238889, 1, 2
777, 6, 318379, 1, 1
778, 6, 237777, 1, 2
779, 6, 228580, 1, 2
870, 6, 251243, 1, 1
871, 6, 174498, 1, 2
872, 6, 166583, 1, 2
873, 6, 204835, 1, 2
874, 6, 157797, 1, 2
875, 30, 243158, 1, 7
876, 6, 290326, 1, 1
877, 6, 181061, 1, 2
878, 6, 180570, 1, 2
879, 6, 184908, 1, 2
880, 6, 167576, 1, 2
881, 30, 240523, 1, 7
882, 6, 298080, 1, 1
883, 6, 197782, 1, 2
884, 6, 179377, 1, 2
885, 6, 188805, 1, 2
886, 6, 176632, 1, 2
887, 30, 332385, 1, 7
888, 6, 328718, 1, 1
889, 6, 224862, 1, 2
890, 6, 226736, 1, 2
891, 6, 237878, 1, 2
892, 6, 1304223, 1, 2
893, 30, 275048, 1, 7
894, 6, 332445, 1, 1
895, 6, 214955, 1, 2
896, 6, 229952, 1, 2
897, 6, 213191, 1, 2
898, 6, 201028, 1, 2
899, 30, 331915, 1, 7
900, 6, 303591, 1, 1
901, 6, 186240, 1, 2
902, 6, 184687, 1, 2
903, 6, 169849, 1, 2
904, 6, 185469, 1, 2
905, 30, 245531, 1, 7
906, 6, 320843, 1, 1
907, 6, 219493, 1, 2
908, 6, 340310, 1, 2
909, 6, 231416, 1, 2
910, 6, 263926, 1, 2
911, 30, 323759, 1, 7
912, 6, 347794, 1, 1
913, 6, 202981, 1, 2
914, 6, 173446, 1, 2
915, 6, 167936, 1, 2
916, 6, 170661, 1, 2
917, 30, 249288, 1, 7
918, 6, 307599, 1, 1
919, 6, 217039, 1, 2
920, 6, 216156, 1, 2
921, 6, 247355, 1, 2
922, 6, 212089, 1, 2
923, 30, 365287, 1, 7
924, 6, 310243, 1, 1
925, 6, 196409, 1, 2
926, 6, 174448, 1, 2
927, 6, 195167, 1, 2
928, 6, 175881, 1, 2
929, 30, 239130, 1, 7
930, 6, 298421, 1, 1
931, 6, 195798, 1, 2
932, 6, 191080, 1, 2
933, 6, 194796, 1, 2
934, 6, 191120, 1, 2
935, 30, 269868, 1, 7
936, 6, 331273, 1, 1
937, 6, 208532, 1, 2
938, 6, 209244, 1, 2
