Number, Time, Resource, NoOfElements, Type
6,54532,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionFromBlockToOutPortBlock()/repetition%2031%20of%2031/model/Model.arxml,4,Save
7,25948,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionFromBlockToOutPortBlock()/repetition%2031%20of%2031/model/model.arxml,4,Save
8,50695,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionFromBlockToOutPortBlock()/repetition%2031%20of%2031/model/Model.arxml,5,Save
9,130,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionFromBlockToOutPortBlock()/repetition%2031%20of%2031/model/model.arxml,4,Save
10,152977,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionFromBlockToOutPortBlock()/repetition%2031%20of%2031/model/Model.arxml,8,Save
11,47900,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionFromBlockToOutPortBlock()/repetition%2031%20of%2031/model/model.arxml,8,Save
0,92213,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinSubSystem()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,40876,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinSubSystem()/repetition%2031%20of%2031/model/model.arxml,1,Save
2,72577,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinSubSystem()/repetition%2031%20of%2031/model/Model.arxml,2,Save
3,28914,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinSubSystem()/repetition%2031%20of%2031/model/model.arxml,2,Save
4,64251,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinSubSystem()/repetition%2031%20of%2031/model/Model.arxml,3,Save
5,27552,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinSubSystem()/repetition%2031%20of%2031/model/model.arxml,3,Save
0,51136,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/model.arxml,1,Save
1,25789,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/Model.arxml,1,Save
2,42700,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/model.arxml,2,Save
3,23985,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/Model.arxml,2,Save
4,42119,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/model.arxml,3,Save
5,24125,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/Model.arxml,3,Save
6,52018,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/model.arxml,4,Save
7,23915,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/Model.arxml,4,Save
8,300,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/model.arxml,4,Save
9,43502,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/Model.arxml,5,Save
10,62477,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/model.arxml,7,Save
11,56466,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/Model.arxml,7,Save
